Variable,Subgroup,Response,Description,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,2/1/2013,3/1/2013,4/1/2013,6/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,3/1/2015,4/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,2/1/2017,3/1/2017,4/1/2017,4/15/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,6/1/2018,7/1/2018,8/1/2018,10/1/2018,11/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,6/1/2019,7/1/2019,9/1/2019,10/1/2019,11/1/2019,1/1/2020,2/1/2020,4/1/2020,5/1/2020,7/1/2020,9/1/2020,10/1/2020,12/1/2020,2/1/2021,5/1/2021,10/1/2021,3/1/2022,3/1/2023,5/1/2023,2/1/2024,4/1/2024,1/1/2025
Age,65+,Unfavorable,,55,51,51,46,53,49,52,46,40,50,59,52,45,53,54,50,46,46,58,46,50,51,42,42,51,49,45,49,40,46,44,40,46,44,43,47,44,46,48,51,51,48,46,54,48,44,47,54,42,44,49,44,51,46,45,42,43,44,46,48,46,45,50,49,49,53,47,45,43,52,47,47,42,42,41,45,44,43,42,48,43,45,47,49,49,49,47,49,44,40,47,45,39,46,40,38,43,48,42,45,44,45,35,40,38,43,40,41,38,31,44,42,42,45,42,44,40,37,37
Age,65+,Don't Know,,12,14,18,17,13,13,16,16,26,10,9,8,24,11,15,18,18,19,13,18,18,14,19,14,17,21,21,13,18,16,21,19,22,24,25,23,22,19,20,20,18,14,23,11,18,20,20,11,24,23,18,14,15,19,17,20,21,16,16,17,18,16,17,17,16,13,14,19,25,10,7,12,12,12,11,9,15,9,9,8,7,11,11,7,8,5,10,8,6,11,8,8,10,10,13,14,13,8,9,9,11,5,10,8,12,10,14,7,6,15,8,9,7,1,3,1,2,1,1
Gender,Men,Favorable,Views of the ACA among men,43,39,49,50,41,50,41,41,41,38,43,43,39,41,37,40,39,38,31,37,39,35,39,40,38,31,38,38,36,45,36,39,34,36,34,34,35,40,35,34,32,33,34,37,40,35,40,36,31,33,35,39,38,39,40,39,42,43,40,39,37,37,38,37,38,38,41,37,39,41,40,41,39,43,47,44,46,48,46,46,49,42,46,45,46,48,44,44,47,49,48,46,49,45,46,47,46,42,44,48,47,47,48,49,46,49,46,45,51,50,49,47,54,53,58,57,57,60,62
Gender,Men,Unfavorable,,43,47,43,36,46,41,45,41,43,54,50,46,42,46,52,47,43,46,55,46,46,46,46,46,48,50,44,45,46,44,44,42,45,41,43,44,45,43,46,49,48,52,50,49,46,48,43,53,50,46,48,47,47,46,46,43,42,43,47,43,47,52,47,51,51,50,47,50,43,48,48,49,49,48,47,48,41,44,46,49,41,49,44,49,47,48,49,47,46,42,44,47,45,45,41,41,41,45,45,45,44,46,43,42,45,45,41,46,44,39,44,41,45,45,40,43,41,39,38
Gender,Men,Don't Know,,14,14,8,15,14,9,14,17,15,8,8,11,18,13,10,13,18,15,14,18,16,20,16,14,14,19,18,17,18,12,19,19,21,22,23,22,20,16,18,16,19,15,17,14,14,17,17,11,20,22,17,14,14,15,15,17,16,14,14,17,16,12,14,13,11,12,13,13,17,11,12,10,12,9,7,8,12,9,8,5,9,9,9,6,8,4,7,9,9,9,8,8,6,11,13,11,13,14,10,7,8,8,9,8,9,7,13,10,5,11,7,11,2,3,2,1,2,2,0
Gender,Women,Favorable,Views of the ACA among women,48,45,48,51,47,48,43,42,42,44,44,40,43,43,46,43,39,44,38,39,44,39,46,43,44,42,43,38,39,47,40,46,36,37,37,35,39,38,40,32,35,36,36,40,38,41,38,37,38,40,38,43,41,42,47,38,43,45,43,43,39,43,42,44,45,37,44,44,41,47,49,46,47,51,52,47,48,51,57,55,56,51,56,53,53,58,55,53,55,48,52,53,56,55,55,52,52,51,51,56,55,58,58,60,53,54,54,53,59,56,58,56,62,57,64,61,61,65,65
Gender,Women,Unfavorable,,37,41,40,36,44,38,42,38,38,47,46,45,40,43,40,40,45,40,47,42,40,42,40,34,40,39,38,44,42,38,41,36,39,39,37,41,40,43,41,48,49,47,45,44,45,43,46,52,43,41,44,44,44,41,40,41,39,40,43,42,44,41,41,41,41,48,42,41,41,47,43,42,43,38,42,43,40,40,36,39,36,39,36,43,37,35,38,39,39,38,37,38,34,36,33,36,35,37,37,36,35,37,33,31,32,36,32,38,34,28,35,30,36,41,34,38,37,35,34
Gender,Women,Don't Know,,15,14,13,14,10,13,15,20,20,9,9,15,18,14,13,17,16,16,16,19,18,19,15,23,16,19,18,17,19,16,19,18,25,24,26,24,20,18,18,20,16,17,19,16,17,16,15,11,19,19,18,13,15,17,14,21,18,15,14,16,18,15,17,15,14,15,14,15,17,7,8,13,9,11,6,10,12,9,8,6,8,10,9,4,9,6,7,8,7,14,12,10,10,9,13,12,12,12,13,7,10,5,10,9,14,10,14,9,7,15,6,15,2,2,2,1,2,1,1
Race / Ethnicity,White,Favorable,Views of the ACA among whites,39,35,43,45,36,42,34,32,34,33,37,34,32,33,36,36,36,35,29,31,31,32,35,34,34,32,37,30,32,38,34,35,28,30,30,27,30,32,32,27,26,30,29,32,32,32,30,29,29,30,29,33,31,34,36,33,39,38,33,33,32,31,33,32,32,33,37,36,33,36,37,37,36,40,44,39,41,43,42,40,45,39,45,40,42,45,44,40,44,44,45,43,46,43,45,42,44,41,40,46,46,47,46,46,42,45,45,46,48,48,49,44,52,49,54,52,53,55,55
Race / Ethnicity,White,Unfavorable,,48,53,47,43,52,47,51,51,49,59,56,54,49,55,53,52,48,52,60,54,52,52,50,49,53,52,49,54,50,49,50,47,51,48,49,54,52,54,54,58,60,59,57,57,56,52,54,62,55,53,56,56,57,53,53,50,48,50,54,51,52,57,56,57,57,58,53,52,51,56,54,53,55,51,49,55,47,50,51,54,47,53,49,54,51,51,51,43,51,49,46,50,47,50,45,49,47,49,51,50,47,48,47,47,47,49,45,49,48,41,47,45,46,50,45,47,45,44,45
Race / Ethnicity,White,Don't Know,,13,12,10,13,11,11,15,16,17,8,8,12,18,12,11,13,16,13,12,16,17,16,15,18,13,17,15,17,17,12,16,17,20,21,21,19,18,14,15,14,15,11,15,12,11,15,15,9,17,17,15,11,12,13,11,17,13,13,12,15,15,12,12,11,12,9,9,12,16,8,9,9,9,9,6,6,12,7,7,6,8,8,7,4,8,3,6,7,5,7,9,8,7,8,10,9,10,11,8,3,7,5,7,7,10,7,10,5,4,11,5,10,2,1,1,1,2,1,0
Race / Ethnicity,Black,Favorable,Views of the ACA among blacks,67,65,68,67,64,77,66,66,73,76,64,67,57,66,58,58,55,54,51,60,61,50,63,60,56,59,75,65,63,67,56,68,58,55,56,59,63,65,64,56,56,55,53,59,60,68,64,59,55,56,63,57,60,67,64,59,60,64,57,53,56,66,57,62,66,50,65,58,64,72,77,69,63,68,71,64,64,73,75,76,76,69,77,67,82,71,73,73,69,72,61,70,75,69,72,69,73,75,78,80,76,80,76,77,75,68,78,70,-,80,73,75,66,74,81,75,73,84,83
Race / Ethnicity,Black,Unfavorable,,10,17,16,11,22,12,22,9,14,14,24,16,19,10,26,24,27,20,30,15,21,21,25,16,15,19,12,18,20,12,18,11,11,22,22,18,17,12,15,29,13,27,24,19,21,17,17,26,20,20,24,23,17,17,20,24,13,20,24,25,27,18,18,20,22,31,16,25,18,19,18,21,21,22,24,29,22,19,16,19,15,17,18,27,17,22,19,16,20,17,25,25,14,18,18,16,10,15,13,13,19,15,12,14,18,22,10,15,-,10,18,13,30,19,17,24,25,15,16
Race / Ethnicity,Black,Don't Know,,24,18,16,23,13,11,12,25,12,10,11,16,24,23,17,19,20,25,19,25,18,30,12,24,29,21,12,17,18,20,26,20,31,23,22,23,20,23,21,15,31,19,23,21,19,15,19,15,25,25,13,19,22,16,15,17,27,16,18,23,17,15,25,17,12,20,19,18,18,9,5,10,16,10,6,7,14,8,9,4,9,14,5,6,1,6,9,11,12,11,13,4,11,13,11,15,17,11,9,8,4,6,11,9,7,10,12,16,-,11,11,12,2,8,2,2,1,1,1
Race / Ethnicity,Hispanic,Favorable,Views of the ACA among Hispanics,68,54,66,73,62,60,66,59,52,51,59,59,71,63,59,56,46,63,44,49,69,52,57,66,63,43,38,59,46,55,46,52,48,48,40,49,52,54,48,44,53,43,46,48,50,44,56,50,42,52,43,58,54,48,53,48,42,50,57,66,50,55,56,53,53,45,54,45,54,54,57,46,58,57,55,58,57,61,65,72,57,52,61,73,64,66,60,60,67,52,55,55,68,64,58,66,50,52,55,61,55,59,67,64,54,69,51,51,69,58,64,61,74,60,70,66,63,71,79
Race / Ethnicity,Hispanic,Unfavorable,,18,29,21,14,28,29,23,17,24,39,33,23,16,25,28,23,31,16,35,23,15,33,25,17,24,32,27,27,29,27,30,22,26,19,19,18,25,22,24,27,26,28,29,28,25,30,24,38,37,20,26,23,26,25,18,25,31,27,26,18,29,28,28,31,30,33,29,40,31,42,34,35,33,31,37,29,28,22,26,21,30,32,24,21,23,24,30,26,24,22,28,27,25,21,22,18,28,27,23,22,26,33,23,17,31,25,23,33,26,23,23,19,26,38,25,33,34,27,20
Race / Ethnicity,Hispanic,Don't Know,,14,18,14,13,11,11,12,24,25,9,9,18,12,12,13,21,24,21,20,28,15,15,18,16,13,25,35,14,24,18,25,26,25,32,42,34,23,24,29,30,22,30,26,24,25,25,21,13,21,29,30,18,20,27,28,25,27,23,18,15,21,18,17,16,17,22,16,15,15,5,9,19,9,13,8,12,15,18,9,7,12,15,15,6,13,10,10,14,10,25,17,17,7,15,21,16,21,22,22,17,19,8,10,19,14,6,26,15,5,19,14,19,0,2,5,1,3,1,2
